coder 1,coder 2
Approach,Pass
,
Approach,Pass
,
Approach,Pass
,
Pass,Pass
,
Pass,Pass
,
Approach,Pass
,
Pass,Pass
,
,
Pass,Pass
,
Pass,Pass
Approach,Approach
,
Pass,Pass
,
Approach,Approach
Touch,Touch
,
Approach,Approach
Touch,Touch
None,Pass
,
Approach,Approach
Touch,Touch
None,Approach
,
Approach,Approach
Touch,Touch
,
Approach,Approach
,
Approach,Approach
Touch,Touch
Follow,Follow
,
Approach,Approach
Gesture,Gesture
Touch,Touch
Follow,Follow
Avoid,Approach
,
Approach,Approach
Gesture,Gesture
Follow,Follow
Touch,Touch
,
Approach,Approach
Follow,Follow
,
Pass,Pass
,
Pass,Pass
,
Approach,Approach
,
Approach,Approach
Gesture,Gesture
,
Gesture,Gesture
,
Approach,Approach
,
Approach,Approach
Touch,Touch
,
Pass,Pass
,
Pass,Pass
,
Pass,Pass
,
Pass,Pass
,
Pass,Pass
,
Pass,Pass
,
Pass,Pass
,
Pass,Pass
,
Pass,Pass
,
Approach,Approach
,
Approach,Approach
Gesture,Gesture
,
Approach,Approach
Gesture,Gesture
Approach,Approach
,
Pass,Pass
Approach,Approach
Touch,Touch
None,Gesture
Follow,Follow
,
Approach,Approach
Gesture,Gesture
Approach,Approach
Follow,Follow
,
Approach,Approach
Touch,Touch
Approach,Approach
Follow,Follow
,
Approach,Approach
Follow,Follow
,
Approach,Approach
,
Approach,Approach
Follow,Follow
,
Approach,Approach
,
Pass,Pass
,
Pass,Pass
,
Pass,Pass
,
Pass,Pass
,
Approach,Approach
Follow,Follow
Gesture,Gesture
,
Avoid,Avoid
Follow,Follow
Avoid,Avoid
Approach,Approach
Touch,Touch
,
Follow,Follow
Approach,Approach
Touch,Touch
None,None
Approach,Approach
Gesture,Touch
None,None
Touch,Touch
None,None
Touch,Touch
None,None
Touch,Touch
None,None
Approach,Approach
,
Touch,Touch
Avoid,Avoid
Follow,Follow
Approach,Approach
Touch,Touch
Approach,Approach
Touch,Touch
None,None
Approach,Approach
Touch,Touch
Approach,Gesture
Touch,Touch
Approach,Approach
Touch,Touch
Approach,Approach
Touch,Touch
Approach,Approach
Touch,Touch
,
Approach,Approach
,
Approach,Approach
,
Approach,Approach
Touch,Touch
None,None
,
Approach,Approach
Touch,Touch
,
Pass,Pass
,
Approach,Approach
Gesture,Touch
None,None
Approach,Approach
,
Approach,Approach
Touch,Touch
Approach,Approach
Touch,Touch
None,None
Approach,Approach
Touch,Touch
Follow,Follow
,
Pass,Pass
,
Approach,Pass
,
Approach,Approach
Touch,Touch
None,None
Approach,Approach
Touch,Touch
Approach,Approach
,
Approach,Approach
Touch,Touch
Approach,Approach
Touch,Touch
Approach,Approach
Touch,Touch
Avoid,Avoid
Approach,Approach
Gesture,Gesture
None,None
Touch,Touch
,
Approach,Approach
Gesture,Gesture
Approach,Pass
Gesture,Touch
None,None
Touch,Touch
Approach,Approach
Avoid,Avoid
Approach,Approach
,
Approach,Approach
Gesture,Touch
Approach,Approach
Gesture,Gesture
Touch,Touch
None,None
Touch,Touch
Gesture,Gesture
None,None
Approach,Approach
Avoid,Avoid
Approach,Approach
Gesture,Gesture
None,None
Touch,Touch
Gesture,Gesture
Approach,Approach
Gesture,Touch
None,None
Touch,Gesture
None,None
Approach,Approach
Gesture,Gesture
,
Follow,Pass
,
Avoid,Avoid
,
Pass,Pass
,
Approach,Approach
Touch,Touch
Gesture,None
Touch,Touch
Gesture,Gesture
Approach,None
Touch,Touch
,
Approach,Approach
Touch,Touch
,
Approach,Approach
Touch,Touch
Approach,Approach
,
Approach,Approach
Gesture,Gesture
,
Approach,Approach
,
Approach,Approach
,
Approach,Approach
Touch,Touch
Approach,None
Gesture,Gesture
,
Approach,Approach
,
Approach,Approach
,
Approach,Approach
Touch,Touch
Approach,Approach
Follow,Follow
,
Touch,Touch
Approach,Approach
Touch,Touch
Approach,None
Touch,Touch
,
Approach,Approach
Touch,Touch
Follow,Follow
Approach,Approach
Touch,Touch
Approach,Approach
Touch,Touch
Approach,Approach
,
Touch,Touch
Approach,Approach
Follow,Follow
Approach,Approach
Touch,Touch
Approach,Approach
,
Approach,Approach
Touch,Touch
Avoid,Avoid
Follow,Follow
Avoid,Avoid
