Duration,Obs_period,Obs_prox,Obs_int,Freq_prox,Freq_int,Age,Gender,Behavior group
8.24,8.24,8.24,0,0.121359223,0,Child,Female,Proximity
15.16,15.16,15.16,0,0.065963061,0,Child,Male,Proximity
4.16,4.16,4.16,0,0.240384615,0,Child,Male,Proximity
6.56,6.56,6.56,0,0.152439024,0,Child,Male,Proximity
19.44,19.44,19.44,0,0.051440329,0,Adult,Male,Proximity
14.64,14.64,14.64,0,0.068306011,0,Adult,Female,Proximity
6.64,6.64,6.64,0,0.15060241,0,Adult,Female,Proximity
11.76,11.76,11.76,0,0.085034014,0,Adult,Female,Proximity
12.2,19.08,19.08,0,0.104821803,0,Adult,Female,Proximity
19.4,19.4,19.4,0,0.051546392,0,Adult,Male,Proximity
15.28,18.56,15.28,3.28,0.05387931,0.05387931,Adult,Female,Proximity
4.68,48.8,4.68,44.12,0.020491803,0.040983607,Adult,Female,Proximity
5.92,10.8,5.92,4.88,0.092592593,0.185185185,Child,Male,Proximity
36.4,40.32,36.4,3.92,0.024801587,0.024801587,Child,Female,Proximity
27.12,27.12,27.12,0,0.036873156,0,Child,Male,Proximity
9.76,38.88,25.04,13.84,0.051440329,0.025720165,Child,Female,Proximity
8.8,72.2,51.24,20.96,0.041551247,0.027700831,Child,Female,Proximity
8.48,59.16,46.4,12.76,0.033806626,0.033806626,Adult,Male,Proximity
1.16,49.56,49.56,0,0.040355125,0,Adult,Female,Proximity
82.72,82.72,82.72,0,0.012088975,0,Child,Male,Proximity
17.2,17.2,17.2,0,0.058139535,0,Adult,Female,Proximity
5.2,5.2,5.2,0,0.192307692,0,Child,Male,Proximity
5.36,8.72,5.36,3.36,0.114678899,0.114678899,Adult,Female,Proximity
3.12,3.12,0,3.12,0,0.320512821,Child,Male,Interaction
17.52,17.52,17.52,0,0.057077626,0,Adult,Female,Proximity
17.84,24.16,17.84,6.32,0.041390728,0.041390728,Child,Male,Proximity
11.6,11.6,11.6,0,0.086206897,0,Child,Male,Proximity
2.8,2.8,2.8,0,0.357142857,0,Child,Male,Proximity
8.72,8.72,8.72,0,0.114678899,0,Adult,Male,Proximity
11.68,11.68,11.68,0,0.085616438,0,Adult,Female,Proximity
7.12,7.12,7.12,0,0.140449438,0,Child,Male,Proximity
2.72,2.72,2.72,0,0.367647059,0,Adult,Male,Proximity
23.2,23.2,23.2,0,0.043103448,0,Child,Male,Proximity
2.48,2.48,2.48,0,0.403225806,0,Adult,Male,Proximity
16.48,16.48,16.48,0,0.060679612,0,Adult,Male,Proximity
7.68,7.68,7.68,0,0.130208333,0,Adult,Female,Proximity
9.12,15.68,9.12,6.56,0.06377551,0.06377551,Child,Female,Proximity
4.4,7.96,5.96,2,0.251256281,0.125628141,Child,Male,Proximity
11.52,82.48,36.96,45.52,0.036372454,0.024248303,Child,Female,Proximity
9.4,32.36,28.36,4,0.092707046,0.030902349,Child,Female,Proximity
13.76,31.84,30.56,1.28,0.094221106,0.031407035,Adult,Female,Proximity
11.28,22.72,22.72,0,0.088028169,0,Adult,Male,Proximity
7.2,7.2,7.2,0,0.138888889,0,Adult,Female,Proximity
8.88,9.88,9.88,0,0.20242915,0,Child,Male,Proximity
8.56,8.56,8.56,0,0.11682243,0,Adult,Female,Proximity
12.16,12.16,12.16,0,0.082236842,0,Adult,Male,Proximity
9.84,9.84,9.84,0,0.101626016,0,Adult,Male,Proximity
7.52,7.52,7.52,0,0.132978723,0,Child,Male,Proximity
19.2,19.2,19.2,0,0.052083333,0,Child,Male,Proximity
21.44,40,35.6,4.4,0.05,0.025,Adult,Male,Proximity
6.24,32.2,25.08,7.12,0.124223602,0.031055901,Child,Female,Proximity
5.68,158.24,33.84,124.4,0.025278059,0.063195147,Adult,Male,Proximity
3.4,110.12,71.96,38.16,0.081729023,0.081729023,Child,Female,Interaction
18.8,18.8,18.8,0,0.053191489,0,Adult,Female,Proximity
9.4,9.4,9.4,0,0.106382979,0,Adult,Male,Proximity
6.54,42.54,6.54,36,0.023507287,0.047014575,Child,Male,Proximity
8.8,16.96,8.8,8.16,0.058962264,0.058962264,Child,Male,Proximity
36.64,36.64,36.64,0,0.027292576,0,Adult,Female,Proximity
11.4,55.76,25.88,29.88,0.035868006,0.035868006,Adult,Female,Proximity
5.12,107.16,45.64,61.52,0.037327361,0.037327361,Child,Male,Proximity
1.56,1.56,1.56,0,0.641025641,0,Child,Male,Proximity
7.36,7.36,7.36,0,0.135869565,0,Adult,Female,Proximity
11.52,69.68,26.48,43.2,0.043053961,0.043053961,Child,Male,Proximity
7.44,234.76,40.04,194.72,0.021298347,0.025558017,Adult,Female,Proximity
2.88,104.58,68.32,36.26,0.047810289,0.038248231,Adult,Male,Proximity
3.6,193.24,35.28,157.96,0.036224384,0.082798592,Child,Male,Proximity
14.72,14.72,14.72,0,0.067934783,0,Adult,Female,Proximity
2.8,2.8,2.8,0,0.357142857,0,Adult,Male,Proximity
13.4,13.4,13.4,0,0.074626866,0,Adult,Female,Proximity
5.28,97.64,9.84,87.8,0.020483408,0.051208521,Child,Female,Proximity
11.4,56.28,11.4,44.88,0.017768301,0.017768301,Child,Female,Proximity
6.96,39.28,13.12,26.16,0.050916497,0.025458248,Child,Female,Proximity
6,11.32,6,5.32,0.088339223,0.088339223,Child,Female,Proximity
23.44,23.44,23.44,0,0.042662116,0,Child,Male,Proximity
23.44,23.44,23.44,0,0.042662116,0,Child,Female,Proximity
19.76,48.92,23.12,25.8,0.040883074,0.040883074,Child,Female,Proximity
24.88,24.88,24.88,0,0.040192926,0,Child,Female,Proximity
18.16,18.16,18.16,0,0.055066079,0,Child,Female,Proximity
6.48,76.04,26.64,49.4,0.03945292,0.013150973,Child,Male,Proximity
19.6,170.48,11.6,158.88,0.011731581,0.017597372,Child,Female,Interaction
19.28,168.64,70.08,98.56,0.029648956,0.017789374,Child,Female,Proximity
93.12,252.72,64.96,187.76,0.015827794,0.007913897,Child,Female,Interaction
3.96,93.44,59.48,33.96,0.064212329,0.010702055,Child,Male,Proximity
22.72,286.08,60.08,226,0.02446868,0.017477629,Child,Male,Interaction
99.76,217.84,61.28,156.56,0.013771575,0.00918105,Child,Female,Interaction
11.6,11.6,11.6,0,0.086206897,0,Child,Female,Proximity
2.8,88.4,48.64,39.76,0.045248869,0.022624434,Child,Male,Proximity
12.8,12.8,12.8,0,0.078125,0,Child,Female,Proximity
16.56,16.56,16.56,0,0.060386473,0,Child,Female,Proximity
38.88,38.88,38.88,0,0.025720165,0,Child,Male,Proximity
7.36,7.36,7.36,0,0.135869565,0,Child,Female,Proximity
2.16,34.96,34.96,0,0.085812357,0,Child,Male,Proximity
57.4,116.44,86.52,29.92,0.034352456,0.008588114,Child,Female,Proximity
7.12,84.64,7.12,77.52,0.011814745,0.035444234,Child,Male,Proximity
5.2,5.2,5.2,0,0.192307692,0,Adult,Female,Proximity
5.28,5.28,5.28,0,0.189393939,0,Adult,Female,Proximity
9.6,9.6,9.6,0,0.104166667,0,Adult,Female,Proximity
2.56,2.56,2.56,0,0.390625,0,Child,Male,Proximity
14.88,14.88,14.88,0,0.067204301,0,Child,Male,Proximity
21.44,21.44,21.44,0,0.046641791,0,Adult,Male,Proximity
5.36,36.72,10.56,26.16,0.054466231,0.081699346,Child,Male,Proximity
15.52,130.64,48.24,82.4,0.030618494,0.015309247,Child,Female,Proximity
35.68,113.04,47.04,66,0.026539278,0.035385704,Child,Male,Proximity
12.24,105.12,33.28,71.84,0.028538813,0.009512938,Adult,Female,Proximity
28.72,28.72,28.72,0,0.034818942,0,Adult,Female,Proximity
12.4,254.12,18.56,235.56,0.007870297,0.03148119,Child,Female,Proximity
