Duration_Code,Frequency_Code,Code
8.24,0.121359223,Approach
,,
15.16,0.065963061,Approach
,,
4.16,0.240384615,Approach
,,
6.56,0.152439024,Pass
,,
19.44,0.051440329,Pass
,,
14.64,0.068306011,Approach
,,
6.64,0.15060241,Pass
,,
11.76,0.085034014,Pass
,,
12.2,0.052410901,Pass
6.88,0.052410901,Approach
,,
19.4,0.051546392,Pass
,,
15.28,0.05387931,Approach
3.28,0.05387931,Touch
,,
4.68,0.020491803,Approach
4.72,0.020491803,Touch
39.4,0.020491803,None
,,
5.92,0.092592593,Approach
1.28,0.092592593,Touch
3.6,0.092592593,None
,,
36.4,0.024801587,Approach
3.92,0.024801587,Touch
,,
27.12,0.036873156,Approach
,,
9.76,0.025720165,Approach
13.84,0.025720165,Touch
15.28,0.025720165,Follow
,,
8.8,0.013850416,Approach
1.76,0.013850416,Gesture
19.2,0.013850416,Touch
34.48,0.013850416,Follow
7.96,0.013850416,Avoid
,,
8.48,0.016903313,Approach
5.16,0.016903313,Gesture
37.92,0.016903313,Follow
7.6,0.016903313,Touch
,,
1.16,0.020177563,Approach
48.4,0.020177563,Follow
,,
82.72,0.012088975,Pass
,,
17.2,0.058139535,Pass
,,
5.2,0.192307692,Approach
,,
5.36,0.114678899,Approach
3.36,0.114678899,Gesture
,,
3.12,0.320512821,Gesture
,,
17.52,0.057077626,Approach
,,
17.84,0.041390728,Approach
6.32,0.041390728,Touch
,,
11.6,0.086206897,Pass
,,
2.8,0.357142857,Pass
,,
8.72,0.114678899,Pass
,,
11.68,0.085616438,Pass
,,
7.12,0.140449438,Pass
,,
2.72,0.367647059,Pass
,,
23.2,0.043103448,Pass
,,
2.48,0.403225806,Pass
,,
16.48,0.060679612,Pass
,,
7.68,0.130208333,Approach
,,
9.12,0.06377551,Approach
6.56,0.06377551,Gesture
,,
4.4,0.125628141,Approach
2,0.125628141,Gesture
1.56,0.125628141,Approach
,,
11.52,0.012124151,Pass
13.2,0.012124151,Approach
16,0.012124151,Touch
